あ
い
う
え
お
困る
にこり
怒り
まばたき
笑い
ウィンク
ウィンク２
ウィンク右
ｳｨﾝｸ２右
はぅ
じと目
にやり
口角上げ
口角下げ
瞳小
ぺろっ
