vrc.v_sil
vrc.v_PP
vrc.v_FF
vrc.v_TH
vrc.v_DD
vrc.v_kk
vrc.v_CH
vrc.v_SS
vrc.v_nn
vrc.v_RR
vrc.v_aa
vrc.v_E
vrc.v_ih
vrc.v_oh
vrc.v_ou
